inchi,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166
Bolinopsis_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,3,0,0,0,0,1,10,2,9,0,0,9,0,7,0,0,0,0,0,0,11,0,0,0,0,0,9,7,0,0,0,2,0,9,2,0,0,0,0,4,0,0,0,0,0,0,0,15,9,0,0,0,13,0,0,5,18,5,10,0,0,0,18,2,0,5,0,10,1,0,13,8,17,5,17,18,5,10,0,0,18,0,0
Bolinopsis_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,17,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,4,1,14,1,0,5,1,2,0,0,0,3,0,21,8,13,0,0,15,1,6,0,0,2,0,0,0,19,0,1,0,0,0,13,15,0,0,0,4,0,13,4,1,2,2,0,6,0,0,0,0,2,0,0,27,11,0,0,0,19,2,5,6,25,5,19,0,0,0,25,4,0,5,0,18,0,5,19,17,28,6,30,25,5,19,5,0,25,5,0
Bolinopsis_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,17,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,5,2,0,3,1,16,0,0,6,1,6,1,1,0,1,3,26,17,18,1,0,20,1,2,0,0,5,0,1,0,18,0,1,0,1,1,18,19,0,0,0,7,1,18,15,1,1,1,1,2,1,0,0,2,1,3,1,27,6,0,0,0,21,1,7,4,25,13,24,2,0,0,25,15,2,13,2,23,1,7,20,26,35,4,41,25,13,24,0,0,25,5,0
Bolinopsis_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,16,1,0,7,0,6,0,2,0,2,3,26,17,18,2,0,21,0,6,0,0,5,0,0,0,20,0,1,0,0,2,18,18,0,0,1,3,2,18,12,1,0,0,0,3,0,0,0,0,3,2,0,30,8,0,0,0,21,0,9,6,27,9,24,0,0,0,27,12,0,9,0,24,1,9,21,26,34,6,40,27,9,24,0,0,27,0,0
Bolinopsis_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,5,20,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,3,1,16,1,0,7,0,6,0,2,0,2,3,26,17,18,2,0,21,0,6,0,0,5,0,2,0,20,0,1,0,0,2,18,18,0,0,1,3,2,18,12,1,0,0,0,3,2,0,0,0,3,2,2,30,10,0,0,0,23,0,9,6,29,9,24,0,0,0,29,12,2,9,0,24,1,9,21,26,34,6,40,29,9,24,0,0,29,0,0
Bolinopsis_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,2,0,0,0,0,1,11,5,7,0,0,10,0,3,0,0,1,0,0,0,9,0,0,0,0,0,7,7,0,0,1,1,0,7,4,0,0,0,0,3,0,0,0,0,0,1,0,13,4,0,0,0,10,0,1,4,14,3,9,0,0,3,14,4,0,3,0,9,1,1,10,11,15,4,16,14,3,9,18,3,14,18,0
Bolinopsis_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,0,0,6,0,3,0,1,0,1,4,19,11,16,1,0,21,0,2,0,0,4,0,0,0,16,0,0,0,0,2,16,16,0,0,2,7,1,16,7,0,0,0,0,1,0,0,0,0,4,2,0,23,2,0,0,0,17,0,7,4,21,10,19,0,0,5,21,7,0,10,0,19,1,7,17,23,31,4,35,21,10,19,30,5,21,30,0
Bolinopsis_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,1,0,19,1,0,4,1,9,0,0,0,0,0,32,17,21,0,0,18,1,2,0,0,4,0,0,0,24,0,0,0,0,0,21,24,0,2,1,9,0,21,15,0,2,2,0,1,0,0,0,2,0,4,0,29,5,0,0,0,22,2,4,2,24,11,28,2,0,3,24,15,0,11,0,27,1,4,22,32,40,2,43,24,11,28,23,3,24,23,0
Bolinopsis_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,8,2,0,1,1,2,0,0,0,0,1,7,4,8,0,0,10,1,2,0,0,1,0,0,0,6,0,0,0,0,0,8,6,0,0,2,4,0,8,0,0,2,2,0,1,0,0,0,0,1,0,0,12,3,0,0,0,9,2,1,2,11,7,11,0,0,1,11,0,0,7,0,10,1,1,9,7,16,2,16,11,7,11,11,1,11,11,0
Bolinopsis_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,3,0,17,4,0,2,3,2,0,0,0,0,1,13,9,15,0,0,17,3,2,0,0,2,0,0,0,9,0,0,0,1,0,15,12,0,0,4,6,0,15,0,0,6,6,0,1,0,0,0,0,1,0,0,21,3,0,0,0,16,6,2,2,18,13,22,0,0,1,18,0,0,13,0,19,1,2,16,12,31,2,30,18,13,22,21,1,18,21,0
Bolinopsis_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,3,0,21,5,0,2,3,3,0,0,0,0,2,14,9,20,0,0,22,3,4,0,0,2,0,0,0,11,0,0,0,1,0,20,14,0,0,4,6,0,20,0,0,6,6,0,1,0,0,0,0,1,0,0,27,4,0,0,0,21,6,2,3,24,16,27,0,0,1,24,0,0,16,0,24,2,2,21,13,40,3,39,24,16,27,21,1,24,21,0
Bolinopsis_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,3,0,0,4,0,19,5,0,1,4,2,0,0,0,0,1,14,7,16,0,0,18,4,2,0,0,1,0,0,0,10,0,0,0,0,0,16,14,0,0,2,6,0,16,0,0,8,8,0,1,0,0,0,0,1,0,0,23,2,0,0,0,17,8,1,2,19,14,25,0,0,1,19,0,0,14,0,21,1,1,17,11,35,2,32,19,14,25,26,1,19,26,0
Bolinopsis_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,3,0,17,4,0,2,3,2,0,0,0,0,1,13,8,15,0,0,17,3,2,0,0,2,0,0,0,10,0,0,0,0,0,15,13,0,0,3,7,0,15,0,0,6,6,0,1,0,0,0,0,2,0,0,21,3,0,0,0,16,6,2,2,18,13,22,0,0,1,18,0,0,13,0,19,1,2,16,12,31,2,30,18,13,22,21,1,18,21,0
Bolinopsis_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,3,0,18,4,0,2,3,2,0,0,0,0,1,13,8,16,0,0,18,3,2,0,0,2,0,0,0,10,0,0,0,0,0,16,13,0,0,3,7,0,16,0,0,6,6,0,1,0,0,0,0,2,0,0,22,3,0,0,0,17,6,2,2,19,14,23,0,0,1,19,0,0,14,0,20,1,2,17,12,33,2,32,19,14,23,21,1,19,21,0
Bolinopsis_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,3,0,20,4,0,2,3,2,0,0,0,0,3,13,8,18,0,0,21,3,2,0,0,2,0,0,0,10,0,0,0,0,0,18,13,0,0,3,7,0,18,0,0,6,6,0,1,0,0,0,0,2,0,0,25,3,0,0,0,19,6,2,3,22,16,25,0,0,1,22,0,0,16,0,22,2,2,19,12,37,3,36,22,16,25,21,1,22,21,0
Bolinopsis_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17,1,0,6,0,8,0,0,0,0,2,22,17,19,0,0,19,0,3,0,0,6,0,0,0,18,0,0,0,0,0,19,18,0,2,2,4,0,19,13,0,0,0,0,0,0,0,0,2,3,4,0,27,4,0,0,0,19,0,6,3,22,10,24,2,0,3,22,13,0,10,0,24,3,6,19,27,34,3,40,22,10,24,18,3,22,18,0
