inchi,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
"InChI=1S/C11H12N2S/c1-2-4-9(5-3-1)10-8-13-6-7-14-11(13)12-10/h1-5,10H,6-8H2",2.253893842,2.125210152,3.990570085,2.956435056,2.881871657,2.995919356,2.533968933,2.98247987,3.389087937,2.661502233,3.046165964,2.751077816,2.410350648,3.264160917,2.758285177,2.750182282,2.778315465,2.849863855,3.052916584,2.39124192,2.72777447,2.625515824,3.184649978,2.938135735,2.878305012,3.249322756,3.143059672,3.284444247,2.936330862,3.032463103,2.914466606,2.905994879,2.782464926,3.268737096,3.322829229,3.161579718,2.972250915,3.244652936,3.100728172,3.226278369,3.0250695,2.985671542,2.796726886,3.161766895,2.826370832,3.213333462,3.012345857,2.892341889,3.081009019,3.017287488
"InChI=1S/C6H8ClN5O2S/c1-8-6(11-12(13)14)10-3-4-2-9-5(7)15-4/h2H,3H2,1H3,(H2,8,10,11)",1.624189935,2.655411393,3.296158622,3.618355797,3.298038633,3.035403578,2.849327772,2.517243315,2.787975754,3.429996816,3.061233845,3.21760457,2.920587749,2.706590625,2.957755613,2.764721047,2.716351599,2.579782869,3.084638002,2.761011655,2.85018629,2.765151203,3.269664984,2.906301449,3.016247958,2.910123562,3.148774212,2.836541889,3.056908029,3.167517334,2.980232601,2.984521956,2.94197271,3.187746738,3.24098609,3.079721624,2.771017309,3.083764557,3.107430908,3.060029716,3.091887173,2.941049298,2.981074606,2.907727012,3.00152245,3.030522461,2.827415448,3.086028477,2.957816036,2.806796796
"InChI=1S/C11H15NO2S/c1-7-5-9(14-11(13)12-3)6-8(2)10(7)15-4/h5-6H,1-4H3,(H,12,13)",2.125763335,2.650311586,2.583361404,2.968094619,3.19425718,2.377966625,2.966553424,2.709126043,2.896415403,3.390594007,3.546801788,3.041094786,3.238351558,2.913404945,2.853468098,2.893872688,2.839150115,3.034328239,2.988344416,3.185482828,2.940608174,2.702810633,3.267658001,3.010553467,3.003585669,2.937956665,2.887698015,2.776072883,2.888268232,3.213680514,3.100810303,2.884248419,2.656413497,3.212547466,3.294403036,3.029677676,2.812228607,2.994334681,3.056012628,2.980674625,3.212593491,3.059252588,2.860038435,3.025449509,2.988961212,2.978855465,2.974900561,3.038067653,2.921056284,3.091631175
"InChI=1S/C18H12Cl2N2O/c19-13-9-7-12(8-10-13)14-4-1-2-6-16(14)22-18(23)15-5-3-11-21-17(15)20/h1-11H,(H,22,23)",2.549971988,2.026674979,3.682509206,3.000493192,2.661668521,2.531483646,3.297960354,2.437301913,2.741734529,2.295342104,2.967382189,3.02744776,2.906351921,3.552232381,3.158481401,3.013227823,3.637679354,3.310887331,2.755782445,3.17829792,3.4099492,2.930937829,3.261407289,3.08224201,3.031075487,3.307165042,2.98622516,3.355891502,3.14171666,3.204051273,2.755557862,3.056138698,2.990513509,3.09239525,3.016315741,2.920452249,2.880245657,2.958594787,2.828773158,2.840737401,2.858874388,2.96759913,3.068016319,3.052483376,3.13525698,2.624985199,3.004348637,3.047932392,2.948563283,3.098536789
"InChI=1S/C8H10ClN5O3S/c1-12-4-17-5-13(8(12)11-14(15)16)3-6-2-10-7(9)18-6/h2H,3-5H2,1H3",1.871673979,2.585123142,4.229888912,4.251432656,2.968837516,2.910673822,2.384023586,2.850523553,3.163802512,3.337120257,2.894959378,3.109076437,2.542572665,2.532850974,2.893137211,2.925869066,2.879757751,2.926802836,2.863666616,2.800953979,2.106144503,2.784983057,2.97104879,2.630109272,3.115672813,2.744176649,2.654067741,2.93460048,3.038119663,3.256346988,2.770473542,3.003865475,2.93317155,3.063809642,3.413633481,3.213619671,2.805267074,2.899136207,3.170374368,2.990220487,3.070801611,2.997593254,2.954009019,3.064878684,3.143137438,2.881512276,3.08469768,3.09278891,2.810102969,3.2923919
"InChI=1S/C5H10N2O2S/c1-4(10-3)7-9-5(8)6-2/h1-3H3,(H,6,8)",1.489120163,3.268223241,2.237747087,3.07576868,3.44829947,3.462268821,3.073456294,2.880446701,3.169643492,3.292917085,3.288585937,2.515377638,3.04042183,2.858168777,3.292816724,2.561229228,3.009259499,3.49936407,2.527499073,3.21431149,2.810139909,2.738476732,3.203542379,3.046535188,2.854744541,2.946639441,2.993115116,3.090191853,2.890716019,3.194299824,2.910359844,3.008810525,2.965005625,3.203318742,3.274797626,3.115677297,2.823830262,2.986868728,2.923669925,2.95342969,3.143196227,3.020643924,2.807066594,2.981799709,2.920918689,2.919601746,3.099006606,2.993624558,2.824230458,2.93732184
"InChI=1S/C9H6F3N3O/c10-9(11,12)7-1-3-14-5-6(7)8(16)15-4-2-13/h1,3,5H,4H2,(H,15,16)",1.802762403,2.46018474,2.993339707,3.207592533,3.325325319,2.862252056,3.206071656,2.780478693,2.983265616,3.137220439,3.068350104,3.067580398,2.995752411,3.149779608,2.680322929,2.724940482,3.114959792,2.8273051,3.303823014,3.050016219,3.168961067,2.904342024,3.32392295,2.914058927,3.167993103,2.999788657,3.017972485,2.636557386,2.974798304,3.057665364,2.860959949,3.05419991,2.859300465,2.848440653,3.085454752,2.984641867,2.588051584,2.884402435,3.059332153,2.809121407,3.045051212,2.889922787,3.021994139,2.828250486,3.019413938,2.762479132,2.970586619,3.010428614,2.812264943,2.979501546
"InChI=1S/C9H20N2O2/c1-4-8-13-9(12)10-6-5-7-11(2)3/h4-8H2,1-3H3,(H,10,12)",1.552354502,3.699891782,2.507364311,3.341477807,3.191199077,3.205693832,2.90561586,3.165608037,3.583925738,3.469826123,3.213619204,2.291472368,2.780761091,3.093172338,3.07978766,2.712432147,3.148335508,3.434475164,2.777851001,3.134376832,2.817078456,2.839614941,2.93149604,3.071892989,2.841970889,2.949788523,3.032828087,3.148097757,2.976570887,3.170161843,2.888562882,3.103124743,2.96600643,2.821085024,3.412552476,3.165838716,2.951161128,2.826141645,3.121190104,2.734297449,3.141040766,2.853132425,2.995690116,3.198771503,2.921878416,2.772215347,3.052235058,2.870776585,2.986862882,3.000763941
"InChI=1S/C7H4Cl3NO3/c8-3-1-4(9)7(11-6(3)10)14-2-5(12)13/h1H,2H2,(H,12,13)",2.050625848,2.70008227,2.615385204,3.06832653,3.371225869,2.894478837,3.028558209,3.072622638,2.845293928,2.819328929,3.193799587,3.274003005,3.181573974,2.895112931,2.786168674,3.168525261,2.993362968,2.757908159,3.339856596,3.082056401,3.222135703,2.819027753,3.324977688,2.807951641,3.238741187,2.968935961,2.950284783,2.5862302,3.218319442,2.977077447,2.739582398,3.144951777,2.930094964,2.917109497,3.131981979,2.869229726,3.002120817,2.9227868,3.331400374,2.796137341,2.883833182,3.073510928,3.028837926,2.831997036,3.115740329,2.90515954,3.037335376,3.123607406,2.889598623,3.246056463
"InChI=1S/C10H11N5O/c1-8-7-15(10(16)14-13-8)12-6-9-3-2-4-11-5-9/h2-6H,7H2,1H3,(H,14,16)",1.941189034,2.248730176,3.768323772,3.562917992,3.291852533,2.963111883,2.823619667,2.779810508,2.893172669,3.006754092,3.059634052,3.052636869,2.88453382,3.175682295,2.675592906,2.811056508,2.907562896,3.109892894,2.958374553,2.894241409,2.600388356,3.069874058,3.146945416,2.733920758,3.23372515,2.834744224,2.853679035,2.806900922,2.894775039,3.060102741,2.687847733,2.856387402,3.26566651,2.763978614,3.060743649,2.872198783,2.625577172,2.995612259,3.068249935,2.780005448,2.859860372,2.908284693,3.146171837,2.980847437,3.068923443,2.709634681,3.176995968,3.026326048,2.730384271,3.082011336
"InChI=1S/C9H11Cl3NO3PS/c1-3-14-17(18,15-4-2)16-9-7(11)5-6(10)8(12)13-9/h5H,3-4H2,1-2H3",2.060989404,3.027699807,3.012983513,3.315591797,2.884084228,2.843387762,2.764292247,2.062048107,2.539724049,2.806636731,3.107946286,3.136682456,3.396067759,2.42346036,2.749809351,2.638159769,3.281316288,2.905462446,3.408276848,3.119781618,3.148012131,2.813892456,3.407922909,3.35440315,3.113147684,2.675118289,3.174263616,2.873449331,2.944221458,3.081647405,2.932285967,3.031582741,2.952289684,2.903224503,2.972441526,3.084018576,3.052688754,2.75976705,3.077095909,2.716486552,2.814373166,3.031783218,3.124709907,3.069328811,3.154651955,2.946302799,3.219861144,2.727397034,2.92998935,3.021494553
"InChI=1S/C7H7Cl3NO3PS/c1-12-15(16,13-2)14-7-5(9)3-4(8)6(10)11-7/h3H,1-2H3",2.065955381,2.908272578,3.004672521,3.289239193,2.909893791,2.816200389,2.730008961,2.148408616,2.5351473,2.823281302,3.180979618,3.069270956,3.455379462,2.26410844,2.804392941,2.624782064,3.269493738,2.870203165,3.159519073,3.18892236,3.218953585,2.90021798,3.432006545,3.184579224,3.141356117,2.797244797,3.062649781,2.865356844,2.961264497,3.168376727,2.858819855,3.028065745,2.837450831,2.945539379,2.862349273,2.992221618,2.896762202,2.909180235,3.100586126,2.866357426,2.725815723,2.997037713,3.002209769,2.843338371,3.00863813,2.971700683,2.969580149,2.8839907,2.893926029,2.984694906
"InChI=1S/C11H15NO3S/c1-7-5-9(15-11(13)12-3)6-8(2)10(7)16(4)14/h5-6H,1-4H3,(H,12,13)",2.143029145,2.71390455,2.594609285,3.02500246,3.139666649,2.394682039,2.974599512,2.695045054,2.844355002,3.324093438,3.470455303,3.085167739,3.294900376,2.756872454,2.899027678,2.867487394,2.73775698,2.988108319,2.992382481,3.221357733,2.893834473,2.655461206,3.290944185,3.005362057,3.005744167,2.903240975,2.904677969,2.831695017,2.893432818,3.216262367,3.119187116,2.843034865,2.701948367,3.184266674,3.293531272,3.037448232,2.842111557,3.015083271,3.044366359,3.004167018,3.203697407,3.039401949,2.899668384,3.026592849,2.989244022,2.956776973,2.952200619,3.036027918,2.930132391,3.063122499
"InChI=1S/C10H9ClN4S/c11-9-2-1-8(5-13-9)6-15-3-4-16-10(15)14-7-12/h1-2,5H,3-4,6H2",1.820958567,2.321002233,3.765657012,3.550072094,3.155233766,2.856541092,2.557188797,2.772554971,3.120111118,3.017249945,3.027342576,3.020847453,2.650365787,3.195461608,2.758147614,2.909830851,3.016524464,2.810361282,2.909011215,2.55074714,2.55457023,3.018540353,3.075302649,2.546593357,3.125478749,2.761215184,3.135000358,2.702672554,2.984319999,3.093617907,2.702601739,3.054442982,3.061344317,3.235091537,3.255713584,3.018424058,2.68392396,2.975912376,2.978843527,2.855314931,2.969866661,3.07513843,2.885549942,3.143481449,2.989862853,2.958359691,3.066559004,2.967147616,2.844076286,3.158094076
"InChI=1S/C10H11ClN4OS/c11-8-2-1-7(5-13-8)6-15-3-4-17-10(15)14-9(12)16/h1-2,5H,3-4,6H2,(H2,12,16)",1.847624006,2.328331102,3.840390098,3.677679445,3.179921171,2.873299023,2.737528599,2.828778002,3.028287235,3.085066997,3.058066453,3.004774861,2.70761578,3.135892734,2.723266656,2.902127769,2.972542194,2.949229957,2.879230886,2.689375372,2.494580457,2.907920315,3.04854776,2.566565272,3.055626174,2.789647528,3.077372632,2.733612687,2.985076623,3.186239536,2.703024881,3.114389195,3.056451026,3.178705597,3.346483528,3.061264813,2.683894404,2.912000206,2.995479585,2.834914477,2.937507435,3.040905013,2.897840638,3.071638931,2.99448626,2.892902287,3.02298206,3.03194016,2.823558851,3.195379748
"InChI=1S/C9H10ClN3O/c10-8-2-1-7(5-12-8)6-13-4-3-11-9(13)14/h1-2,5H,3-4,6H2,(H,11,14)",1.884168553,2.331611123,3.839269865,3.638760308,3.178994687,2.845358705,2.816624574,3.007438882,3.109519318,3.008318034,3.043716491,2.857067752,2.686169795,3.182111867,2.53473287,2.957479963,3.102351028,3.052835423,3.096662622,2.848438048,2.497800202,2.985449866,3.043279948,2.630693879,3.194408463,2.89395048,2.836543466,2.739286786,3.024939768,3.009865708,2.664944215,3.131138899,3.046843784,2.828276239,3.251687126,3.047913784,2.725380657,2.908867842,3.13601902,2.659478952,2.842406121,2.786191578,3.073755217,3.141007816,2.901799926,2.952082175,3.011098193,2.925544982,3.02095577,3.190447453
"InChI=1S/C15H17ClN4/c1-2-3-8-15(9-17,10-20-12-18-11-19-20)13-4-6-14(16)7-5-13/h4-7,11-12H,2-3,8,10H2,1H3",1.923229157,2.401067496,3.542485257,3.172889981,3.099548861,2.942753788,2.566785855,2.552276852,3.007968806,3.001387239,2.9875422,3.269984618,2.838501788,3.57382149,2.620051428,3.0501352,3.011578661,2.916712316,3.029150111,2.84953491,2.527685659,3.107711308,3.033982169,2.802691195,3.340013261,2.708629764,2.895540738,3.024123312,2.980960173,2.942631644,2.945381449,2.879270895,3.200025261,2.882354261,3.065280323,2.846991109,2.8858859,3.106917982,3.076862622,3.120263825,3.12981281,2.824981425,3.115545015,3.165695572,2.976620024,3.001657693,3.229938147,3.047828476,3.100893436,3.009574458
"InChI=1S/C10H11ClN4/c1-8(14-7-12)15(2)6-9-3-4-10(11)13-5-9/h3-5H,6H2,1-2H3",1.650456538,2.615237775,3.308172934,3.467380648,3.203406278,2.778520613,2.710167594,2.833093366,3.160296699,3.457465207,3.110299362,3.019322562,2.800428052,3.18755563,2.794476874,3.032814988,3.025441322,2.677525881,3.109690706,2.757178867,3.262144588,2.949025969,3.325744934,2.835410388,3.117154044,2.922973573,3.17977769,2.718549432,3.024432472,3.097430488,2.876490685,3.122883314,2.886566626,2.964665524,3.059967276,3.041496167,2.69430302,2.883325147,3.117312176,2.86367902,2.893821275,2.938614573,3.015985596,2.95116633,2.891188413,2.884711511,2.891225477,2.96204907,2.923377586,2.959961959
"InChI=1S/C49H74N10O12/c1-26(2)23-37-46(66)58-40(48(69)70)30(6)42(62)55-35(17-14-22-52-49(50)51)45(65)54-34(19-18-27(3)24-28(4)38(71-10)25-33-15-12-11-13-16-33)29(5)41(61)56-36(47(67)68)20-21-39(60)59(9)32(8)44(64)53-31(7)43(63)57-37/h11-13,15-16,18-19,24,26,28-31,34-38,40H,8,14,17,20-23,25H2,1-7,9-10H3,(H,53,64)(H,54,65)(H,55,62)(H,56,61)(H,57,63)(H,58,66)(H,67,68)(H,69,70)(H4,50,51,52)",3.193177321,3.934069987,5.85868123,5.42931682,2.304660403,2.160806365,6.058248508,5.190654187,2.165002679,4.044567696,3.465380477,2.382411418,3.740988082,3.508701618,2.013913169,2.705585644,2.36333566,4.231388915,2.596327128,2.954106829,2.505260865,3.563117433,3.06133502,3.264317469,2.743044872,2.969686524,2.618422194,3.529663611,2.658907312,2.89489069,2.808603984,2.658404847,3.485676598,2.865346681,2.613752587,2.73898935,2.519476409,3.205617163,2.951333766,3.064013804,2.884867869,2.937958638,3.305681631,2.969631125,2.633899883,3.033695961,3.203465084,2.901821361,3.098180402,2.449789288
"InChI=1S/C6H5ClO/c7-5-1-3-6(8)4-2-5/h1-4,8H",1.775156416,2.441469143,2.270281376,2.639741355,3.554240867,2.860972833,2.83400901,2.711726933,3.21959266,3.206866439,2.705328424,2.783058111,3.273868491,2.88654946,2.875341012,3.099338172,3.181762786,2.998774998,3.126015002,2.85923578,3.013401261,2.976384405,3.045524612,3.167234945,3.079849314,3.136625183,2.938522278,3.001898362,3.049564858,3.027080186,2.919389972,3.034655379,2.978839836,2.993850803,2.94305553,2.992490114,2.916264395,3.006240655,2.902277177,3.042128675,3.002377845,2.937151263,3.011789612,2.921924932,2.916565979,3.046324875,3.007615523,3.012209539,2.978713161,3.00387929
"InChI=1S/C10H6F17NO2S/c1-2-28-31(29,30)10(26,27)8(21,22)6(17,18)4(13,14)3(11,12)5(15,16)7(19,20)9(23,24)25/h28H,2H2,1H3",2.004917026,4.009672595,2.581703363,3.139193501,2.601267983,3.509027805,3.258872666,1.891939664,2.645335311,2.791950603,2.951574379,2.654039826,2.996935762,2.737836616,3.317892472,2.548900166,3.10564344,3.168818887,2.739276391,2.644860519,2.688893204,2.870546949,3.564765669,2.878703866,3.187484165,3.093851308,3.073106337,2.584169638,3.001068263,2.592518062,3.103629568,3.195504162,2.381433052,3.138336244,2.96005564,2.920887937,2.725517894,3.046546336,2.837267977,3.190460065,2.744569819,2.951575312,3.236935029,3.017937175,3.015298752,3.1354924,3.086797803,2.858159659,2.944608463,3.049810995
"InChI=1S/C21H15N3O5/c1-27-12-16(21(25)26)15-7-3-5-9-18(15)29-20-10-19(23-13-24-20)28-17-8-4-2-6-14(17)11-22/h2-10,12-13H,1H3,(H,25,26)",3.550769769,2.051113753,3.237987769,3.389568737,2.359650705,2.976229553,2.548643361,3.078958692,2.320029041,2.678668852,3.529481843,3.193329728,3.493905068,3.342301964,2.829422899,3.011113715,3.435370963,2.945332473,2.556766984,3.258102115,3.156125937,2.979109346,3.230921788,3.050639908,3.270314843,3.298935237,2.735537837,3.562681351,3.338159691,3.001541707,2.941566864,3.157272017,3.179054775,2.976742452,2.990262701,3.396111153,2.688661096,2.626533618,3.12255771,2.866403973,2.793236592,3.437162686,3.024296828,2.809746513,3.285195982,2.653912416,2.895728932,3.072159036,3.021555504,2.8979549
"InChI=1S/C25H28N6O/c1-2-3-10-22-26-25(15-6-7-16-25)24(32)31(22)17-18-11-13-19(14-12-18)20-8-4-5-9-21(20)23-27-29-30-28-23/h4-5,8-9,11-14H,2-3,6-7,10,15-17H2,1H3,(H,27,28,29,30)",3.010872126,2.469456747,5.144446429,3.32188501,2.113478335,3.248331219,3.300116982,2.953870943,3.121127319,2.843344729,2.913969654,2.651066738,2.970135673,3.599480979,3.027157106,3.119080255,3.391671612,3.225524135,3.163967249,1.984009108,2.695596667,2.723611871,3.663461775,2.9543861,3.366440366,2.748979728,2.944078753,3.398982667,2.652775072,3.215359368,3.37414036,2.903179667,3.377919213,2.872975519,3.025960947,2.981964032,3.45871237,3.307902688,3.20901656,3.498639175,2.880715219,2.483779771,3.261923705,3.268461951,2.894765083,3.132226064,2.827883444,2.933229665,3.309957713,2.687474642
"InChI=1S/C17H20N6O7S/c1-23(2)15(25)11-6-5-10(18-9-24)7-12(11)31(27,28)22-17(26)21-16-19-13(29-3)8-14(20-16)30-4/h5-9H,1-4H3,(H,18,24)(H2,19,20,21,22,26)",2.569719452,2.775269536,4.549334043,4.768687266,2.373884348,2.794399207,3.142628556,2.635181032,2.250106612,3.429674949,3.169542075,3.319624256,3.672037666,2.419751854,3.536260087,3.135513396,2.995080503,3.792310073,2.226993143,3.31227785,3.058840463,2.687122683,2.876129034,2.575423538,3.05183938,2.994663948,2.993559872,2.906143082,2.950669156,3.314489974,3.278248481,3.282079822,3.052466061,3.057000023,3.47696434,3.149229621,2.852380106,2.534194663,3.001994107,2.768370622,2.893618334,2.933755319,2.882428225,2.52841271,2.720792046,2.676174364,2.689290343,3.21164812,2.997279619,3.101908619
"InChI=1S/C21H28O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h5,7,9,14-16,18,22,24,26H,3-4,6,8,10-11H2,1-2H3",3.615065763,3.343864106,4.241782624,0.864254847,2.96288755,3.351292371,3.080477957,3.322367728,2.455466238,2.919509332,2.881745327,3.181501304,2.702135375,2.421746937,3.103065713,3.347042177,3.079518749,2.876284513,3.390752265,3.121704419,2.908033628,3.411892783,3.302827161,2.779169987,2.400454629,3.057585199,3.077173428,3.280655328,3.035114865,2.971133019,2.741159452,3.641681906,3.183837319,3.171224148,3.011129054,2.825962938,2.95020101,2.893825606,3.267172456,2.940544466,3.329386521,3.040007243,3.14953356,2.977570632,3.038762596,3.066172885,2.933398471,3.035217244,3.103163838,2.912383855
"InChI=1S/C22H28FN3O6S/c1-13(2)20-18(10-9-16(27)11-17(28)12-19(29)30)21(14-5-7-15(23)8-6-14)25-22(24-20)26(3)33(4,31)32/h5-10,13,16-17,27-28H,11-12H2,1-4H3,(H,29,30)",2.732903466,3.034276143,4.049021861,3.823642526,2.579734238,3.3528758,3.023958904,2.561543591,2.14286036,2.977291426,2.683018727,3.439354085,3.464411544,2.897300211,2.950690925,3.436734604,3.07233021,2.778856078,2.170482285,2.889189923,3.142625814,3.024078529,3.224291296,2.475330074,3.308781833,2.964841501,3.298713104,2.770292015,3.05950604,3.093896046,3.280063524,2.597586704,3.311017526,3.059114674,2.945869696,3.060855679,3.306208018,3.253567661,3.145162761,2.926720323,3.014316722,3.143711562,2.870738188,3.00466447,3.003159632,3.182716249,2.727098868,3.000996729,3.971755599,3.320394127
"InChI=1S/C24H20N6O3/c1-2-33-24-25-20-9-5-8-19(23(31)32)21(20)30(24)14-15-10-12-16(13-11-15)17-6-3-4-7-18(17)22-26-28-29-27-22/h3-13H,2,14H2,1H3,(H,31,32)(H,26,27,28,29)",3.284805597,2.025971065,4.971204785,3.735177691,2.099532668,3.63113453,3.367209014,2.857245851,3.137367003,2.392615382,2.642959085,3.139882934,3.601745255,3.72468737,2.936269089,3.037014589,3.664142938,3.047029211,2.815230625,2.919195299,3.414463431,2.520938713,3.91421814,2.761684165,3.298789273,2.805191994,2.660423088,3.080675417,2.756541146,3.266123287,3.399780647,3.172273663,3.035301949,2.775996355,3.329424224,3.09374053,3.579595453,2.844822221,2.989344547,3.026492225,3.075285849,2.477649812,3.068331858,3.311406573,3.275361356,2.989329546,3.127449533,3.027668173,3.415834258,2.816092298
"InChI=1S/C33H30N4O2/c1-4-9-30-35-31-21(2)18-24(32-34-27-12-7-8-13-28(27)36(32)3)19-29(31)37(30)20-22-14-16-23(17-15-22)25-10-5-6-11-26(25)33(38)39/h5-8,10-19H,4,9,20H2,1-3H3,(H,38,39)",3.451613093,2.073903874,5.250547944,3.777322914,1.738238108,3.661620329,3.192153523,2.947849114,3.560016094,2.19317302,2.240867495,2.845196031,3.934165158,4.635956276,2.923196404,3.177516173,3.637803084,2.679136837,2.7470515,2.742905077,3.916738277,2.83361746,4.329332692,2.241544599,3.550757832,2.439163303,3.244757741,3.176093413,2.685735614,3.129916027,3.087115945,3.171388296,2.737269871,3.024068138,3.01221099,3.163936367,2.884299484,3.033195126,3.211488955,3.094758215,3.023215313,2.780654819,3.22751751,3.929761551,3.302618985,3.077655752,2.803117026,2.809693148,3.296824713,3.010702252
"InChI=1S/C33H35FN2O5/c1-21(2)31-30(33(41)35-25-11-7-4-8-12-25)29(22-9-5-3-6-10-22)32(23-13-15-24(34)16-14-23)36(31)18-17-26(37)19-27(38)20-28(39)40/h3-16,21,26-27,37-38H,17-20H2,1-2H3,(H,35,41)(H,39,40)",3.449439226,2.842682782,4.270156457,3.237647527,2.131218355,2.457092964,4.257105163,2.908264756,2.952441229,2.293430396,2.459707691,2.553329599,3.442560491,3.937848675,3.338799779,3.361930709,3.54016649,3.092766578,2.643802735,2.949598341,3.392922516,2.856830276,3.614589369,2.265276305,3.558089261,3.543264812,3.258485926,3.308937078,3.075111961,3.36268115,2.900260077,3.011033485,2.893212302,2.70033924,2.635693392,3.138570105,3.268890799,3.187938747,2.866435592,2.995526355,3.351790648,3.341050902,2.866198498,3.352891597,3.718323187,3.017360312,2.802669892,3.158238561,2.810044324,3.378098844
"InChI=1S/C28H36O15/c1-11-21(34)23(36)25(38)27(40-11)43-26-24(37)22(35)19(10-29)42-28(26)41-13-8-16(32)20(17(33)9-13)14(30)5-3-12-4-6-18(39-2)15(31)7-12/h4,6-9,11,19,21-29,31-38H,3,5,10H2,1-2H3",7.022174413,3.650918092,2.438572482,3.787040933,4.106328823,2.554023111,3.223389828,2.447547707,3.11113179,2.692619207,3.373997553,2.798005039,3.398485156,2.962065843,3.004955885,3.75459892,2.942563355,3.106962279,3.055926651,2.80529726,2.950845183,3.112499331,3.159125157,2.502133625,3.328925806,3.064702454,2.924308937,3.476521307,2.995126297,3.15316728,2.847638103,2.840921435,2.876140555,3.018763741,3.186341754,2.659546106,2.763992386,2.95312219,2.629419541,2.671310357,2.87895445,2.939117065,2.790629368,2.972831752,2.92353493,3.286626949,2.999146156,2.786119396,2.928441187,2.856330579
"InChI=1S/C11H13F3N2/c12-11(13,14)9-2-1-3-10(8-9)16-6-4-15-5-7-16/h1-3,8,15H,4-7H2",1.927945481,2.435775942,3.582803227,3.269653748,2.961865698,2.150133818,2.843694878,2.867456114,3.339390606,2.725034595,2.849189268,2.565966272,2.327537423,3.2143546,3.152285538,2.979821945,3.112798563,2.842221391,3.275078682,2.557997285,2.505359181,3.234946061,2.719998563,2.586949917,3.106802243,2.928108596,3.132284924,2.79399297,3.034678729,2.594001921,2.663381215,2.879495284,3.137448643,2.842963499,3.137234035,3.306190239,2.607636482,3.030956873,3.12672069,2.716558757,3.030071185,2.683307805,3.084842073,3.005426022,2.89761849,3.016287508,3.052261315,2.908862085,2.879850396,3.143723053
"InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3",2.802300588,2.10355597,3.452512098,2.136743495,2.225699204,2.527295841,2.124553026,3.369366646,2.649619589,3.009785118,2.401008199,2.122680696,2.266468281,3.821195658,2.804383138,2.822898116,2.805784273,2.408150075,2.511048715,3.224018626,2.888110555,2.365419293,3.202013031,3.281405143,2.723949109,3.151994494,2.928101215,3.350988303,2.948029862,2.971747495,3.57894651,2.928148164,2.758188977,2.979737038,3.108195542,2.833286258,2.873484271,2.987076855,3.410581363,2.723803613,2.819402436,3.382728364,3.056588108,2.645957101,3.023344572,3.204987554,3.095213772,2.854891546,2.821062594,2.946108108
"InChI=1S/C16H19NO4/c1-17-11-7-8-12(17)14(15(18)19)13(9-11)21-16(20)10-5-3-2-4-6-10/h2-6,11-14H,7-9H2,1H3,(H,18,19)",3.073120918,2.601772643,3.658217587,2.753273461,2.662323099,2.721270429,2.937778025,4.051136423,3.654326837,2.316212455,2.912897157,3.632761586,2.671794977,3.096880332,2.950481771,2.42519917,3.091384287,2.755016942,3.107870042,2.784480282,2.686677868,2.743099148,2.894166513,2.854899892,3.133827015,3.450000696,3.260409723,3.333958219,2.524779695,2.789620847,3.011055887,2.88448622,2.674242644,2.601590443,3.21162973,3.57474412,3.201577699,2.825893527,2.512957879,3.304114746,2.802635664,3.275726891,2.815776843,2.774377424,2.673835415,2.967929346,2.607751496,3.183229716,2.805310625,2.946169725
"InChI=1S/C18H25NO/c1-19-10-9-18-8-4-3-5-15(18)17(19)11-13-6-7-14(20-2)12-16(13)18/h6-7,12,15,17H,3-5,8-11H2,1-2H3",3.007912586,2.424733266,4.205705172,1.815568341,2.555416471,2.630433297,2.61281955,3.178587825,3.782512909,3.021674078,3.403297498,2.253880987,2.731906561,3.121604234,3.17345451,2.894945514,2.890809536,2.562344544,3.325293635,2.906859542,2.625287869,2.635852341,3.19573902,2.686981871,3.145210318,2.770625424,2.990184601,3.185749838,2.764256821,3.125230668,3.044076907,3.148308887,3.013761272,2.837989751,2.954492231,2.921400964,2.99335805,2.93753269,2.861371515,2.939806778,2.782689156,3.020773617,2.821343334,2.876791628,2.673781917,2.991594849,3.021430517,2.999586392,2.933045839,3.135081349
