inchi,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
"InChI=1S/C22H17N3O5/c1-27-13-17(22(26)28-2)16-8-4-6-10-19(16)30-21-11-20(24-14-25-21)29-18-9-5-3-7-15(18)12-23/h3-11,13-14H,1-2H3",3.800460416,2.314919097,3.292942628,3.472370557,2.167893682,2.957399852,2.519949113,2.9612163,2.309483329,2.812672039,3.45995216,3.127478709,3.816456801,3.387828778,2.927759415,2.935640844,3.447842187,3.104299583,2.407135249,2.965610531,3.250773254,2.960670492,3.28166825,2.91971996,3.534780019,3.589712344,2.586513602,3.262874968,3.198686762,2.792593721,3.277778566,3.177592432,3.296877013,2.940960458,3.205557191,3.33621946,2.745844271,2.617767747,3.249188785,2.925361239,2.803720222,3.442302709,2.821863287,2.686907989,3.144364385,2.61843657,2.949424436,3.007815602,3.006538202,2.895516326
"InChI=1S/C8H14N4OS/c1-8(2,3)5-6(13)12(9)7(14-4)11-10-5/h9H2,1-4H3",1.755306917,2.7227718,3.279389269,3.415038258,3.253413871,2.774979301,2.891722135,2.834951811,2.868957718,3.488562078,3.120853929,3.292218331,2.845049219,2.75941739,3.186447587,2.807375352,2.567893857,2.802753081,3.04110483,2.764636431,2.947482811,3.446533483,3.293989345,3.071005623,3.309501123,2.666550698,2.723663843,2.920473183,2.787437484,3.336893381,3.168433753,2.78394787,2.74461181,3.017571649,3.034714561,2.914428596,2.900204581,3.413539727,3.147242856,2.998461042,2.878494297,3.203666295,3.148410916,2.782061155,3.289863492,2.919869235,3.03630688,3.084203831,2.889000357,3.010875185
"InChI=1S/C7H12N4O2/c1-7(2,3)4-5(12)11(8)6(13)10-9-4/h8H2,1-3H3,(H,10,13)",1.725212933,2.604837506,3.145164438,3.481829108,3.51965378,3.00668288,3.054610394,3.132831557,3.094003753,3.667691358,2.750542314,2.965155747,3.274635279,2.686544053,3.244016957,2.953200912,2.851153286,3.170618835,3.051595932,2.898794741,2.885427641,3.453938338,3.05500903,3.289684016,3.151433318,2.774950918,2.535893981,3.178878728,2.881018749,3.326349216,3.146663786,2.878095529,2.90156387,2.717035969,3.007023516,2.828969268,3.082548415,3.312643143,3.126353478,2.913467517,2.69987758,3.054434794,3.288357117,2.847487072,3.273711969,2.790884595,2.965477421,3.072693827,2.912647333,3.04206821
"InChI=1S/C16H16N2O4/c1-11-5-3-6-12(9-11)18-16(20)22-14-8-4-7-13(10-14)17-15(19)21-2/h3-10H,1-2H3,(H,17,19)(H,18,20)",2.517583149,2.493067767,3.441503642,3.461582732,2.897160783,1.820388288,3.512238478,2.618870396,2.331913563,2.668766299,3.448013952,3.001261874,3.177912506,3.197134653,3.601147357,3.142762373,3.332951789,4.098085281,2.670155147,3.679876228,3.050229888,2.586185162,2.644287858,3.251441908,2.537759851,3.182809297,2.703085768,2.811564622,3.249064102,3.265827173,2.667667563,3.224946591,2.908288797,2.796086779,3.162025777,2.992478848,3.150491468,2.709507273,2.823924133,2.75316418,3.062306642,2.653007675,2.909040915,3.28412596,2.693173037,2.907921185,2.918457094,2.97157742,2.910267508,3.27127507
"InChI=1S/C17H13ClFN3O/c18-15-4-2-1-3-14(15)16-17(23-16,9-22-11-20-10-21-22)12-5-7-13(19)8-6-12/h1-8,10-11,16H,9H2",3.167936376,1.993685118,3.705197894,2.981856691,2.36006994,3.143398386,3.349419441,2.364867073,3.538827676,2.983466355,2.734372357,3.735395645,2.592925726,3.419581775,2.875754635,2.356929533,4.10958225,2.52003036,2.66820417,2.801442829,2.793841196,2.949979959,3.411371673,2.876010813,3.091428763,2.898344797,2.418802686,3.374249509,3.024116065,3.158659678,2.435116038,2.900636076,3.228756952,3.10090625,2.806534724,2.976008467,3.28415564,3.033655915,3.0168049,3.138584164,3.329793817,2.93032224,3.058407324,2.910529165,3.032794381,2.951411311,2.909122717,3.001103131,2.995368635,2.811952605
"InChI=1S/C16H15F2N3Si/c1-22(12-21-11-19-10-20-21,15-6-2-13(17)3-7-15)16-8-4-14(18)5-9-16/h2-11H,12H2,1H3",2.341645387,2.33557377,3.741324337,3.062308641,2.727523779,2.967431666,2.564781687,2.341137039,2.831369545,2.596294673,3.098529881,3.098876541,2.785074099,3.118558025,2.752668846,3.055703829,3.55808098,2.813901093,2.693898827,2.570130768,2.893497587,3.081235731,3.265116202,3.143053005,3.139605923,3.154243527,2.742880154,3.476584606,3.212827689,3.054579398,2.676458241,2.832923823,2.963872929,3.088352506,3.091455844,2.907686224,2.832004919,3.173793138,2.954917188,2.979282497,3.006567774,2.85243326,3.180889635,3.013833333,2.934991817,2.881970783,3.181785261,3.117361336,2.932875459,3.06742888
"InChI=1S/C14H21NO5S/c1-4-11-7-6-8-12(5-2)14(11)15(10-20-3)13(16)9-21(17,18)19/h6-8H,4-5,9-10H2,1-3H3,(H,17,18,19)",2.06645631,3.287002055,3.24499922,3.518034228,2.47309934,2.078235068,3.285887475,2.588900084,2.595448726,2.806880724,2.872044073,3.149838494,3.069968335,2.396173273,3.329503067,3.038910372,3.207459173,3.322643055,3.36296633,3.407935526,3.028028811,2.613844484,3.130235132,3.312781052,3.026791264,2.706969158,3.142761424,3.06949429,3.249145222,3.339513937,3.210197152,3.230519361,2.774036496,3.185911309,3.190063124,3.297780659,3.505041753,2.929045408,3.158274166,2.759347966,2.779846483,2.903962461,3.107828137,3.246095307,2.964021555,3.173905344,3.09768765,2.737995363,3.220491034,3.065427383
"InChI=1S/C14H19NO4/c1-4-10-7-6-8-11(5-2)12(10)15(9-19-3)13(16)14(17)18/h6-8H,4-5,9H2,1-3H3,(H,17,18)",1.912969115,3.077705745,2.991559265,3.42340487,2.823323409,1.892924228,3.492944556,3.55456959,2.949848525,3.003997067,2.97863602,3.140476998,2.843606245,2.918814305,3.139357612,3.365354931,2.843563769,3.341847331,3.454685006,3.438766717,3.34655047,2.623673985,3.148691832,3.186912146,3.072293277,2.747036406,2.797394438,2.918028466,3.093130893,2.655549972,3.093662851,3.420884144,3.022396249,3.421955733,3.191535033,2.78226232,3.517765003,2.626729036,3.164479392,3.024616136,2.718269906,2.898881331,3.02762902,3.331079104,2.90238142,2.961648752,3.232381214,2.905064974,3.160926898,2.974319841
"InChI=1S/C14H19NO4/c1-4-11-8-6-7-10(3)12(11)15(9-19-5-2)13(16)14(17)18/h6-8H,4-5,9H2,1-3H3,(H,17,18)",1.920134788,3.084930235,2.987073567,3.424939839,2.862804985,1.92511335,3.500317832,3.530571875,2.944906115,2.98153778,2.938075597,3.150684243,2.814395358,2.913772739,3.126607215,3.360688899,2.846894124,3.310420132,3.490428502,3.382793455,3.32066072,2.621112743,3.137623215,3.204667294,3.045270106,2.74357461,2.796700808,2.890482984,3.113193577,2.589024653,3.071014868,3.394074873,3.046771824,3.407615906,3.216539446,2.821147361,3.517439179,2.628584015,3.144955517,2.972619318,2.736933748,2.885466553,3.036294153,3.342946887,2.998000419,2.954448773,3.254034305,2.932879845,3.13645752,2.967812538
"InChI=1S/C14H21NO5S/c1-4-12-8-6-7-11(3)14(12)15(10-20-5-2)13(16)9-21(17,18)19/h6-8H,4-5,9-10H2,1-3H3,(H,17,18,19)",2.073621983,3.294226544,3.240513522,3.519569197,2.512580916,2.110424191,3.293260751,2.564902369,2.590506317,2.784421437,2.831483651,3.160045739,3.040757448,2.391131707,3.31675267,3.034244341,3.210789528,3.291215857,3.398709826,3.351962265,3.002139061,2.611283242,3.119166515,3.330536201,2.999768094,2.703507362,3.142067793,3.041948808,3.269207907,3.272988618,3.187549169,3.203710091,2.798412072,3.171571482,3.215067537,3.336665699,3.504715929,2.930900387,3.138750292,2.707351148,2.798510325,2.890547683,3.11649327,3.25796309,3.059640554,3.166705366,3.119340742,2.765810234,3.196021656,3.05892008
"InChI=1S/C14H20ClNO2/c1-4-12-8-6-7-11(3)14(12)16(10-18-5-2)13(17)9-15/h6-8H,4-5,9-10H2,1-3H3",1.830968815,2.890753482,3.010932506,3.273763961,2.909536355,1.99531387,3.154340349,2.939716946,3.021548007,3.150244062,2.951575755,3.041042216,2.786330235,3.146508602,3.231856346,3.152855641,2.995335562,3.360831017,3.56595043,3.39795796,3.100644242,2.697675548,3.148838379,3.102293995,3.16263842,2.940262216,2.921447361,2.836127176,3.148561012,3.048065435,3.187205813,3.322132741,2.786007439,3.023325743,3.318135592,3.182352027,3.450929044,2.831956996,3.154932868,2.681482695,2.802260265,2.81841564,3.080807402,3.312918855,2.95716371,3.020084856,3.172595957,2.772147238,3.122713371,3.072447343
"InChI=1S/C19H23N3/c1-14-6-8-18(16(3)10-14)20-12-22(5)13-21-19-9-7-15(2)11-17(19)4/h6-13H,1-5H3",1.96166395,2.210430134,3.657680399,3.381759333,2.875031417,2.102362203,2.774592219,2.453248814,3.006555691,3.317671699,2.939448223,3.15914219,2.606129817,3.623373675,3.789487385,3.515544622,2.813464547,3.196194494,2.55004508,3.254540292,3.113973592,3.04607091,2.747101598,2.718933682,2.884461819,3.067564243,3.31463136,2.900814079,3.034053351,2.89981271,2.949480953,2.895854492,3.008887827,3.099945228,2.96115754,2.886475405,3.022574422,3.049826625,2.924504214,2.951440281,3.267053162,2.852544202,2.87453052,3.226410222,2.802489342,2.991796781,3.003330713,2.886665097,3.218031289,2.919810634
"InChI=1S/C7H10N4O3/c1-3-9-7(13)10-6(12)5(4-8)11-14-2/h3H2,1-2H3,(H2,9,10,12,13)",1.471321193,3.215847345,2.593050771,3.492300089,3.439482655,3.643624899,3.337388282,2.975151775,3.087571775,3.590571654,3.364183858,2.491824931,3.007952171,3.016131342,3.236123925,2.673505172,3.058064374,3.589307678,2.713737415,3.329444128,2.771329364,2.7065438,3.027753056,3.101641733,2.784552445,3.088396973,3.001046059,3.265642447,2.879444786,3.053046688,2.92663608,3.171552779,3.071830874,2.892040139,3.229136352,3.163983868,2.873955774,2.76190318,3.029151871,2.815931096,3.206136742,2.819429029,2.958601839,2.993291786,2.951051021,2.79169444,3.169652631,2.947922476,2.777530393,2.848765879
"InChI=1S/C19H11F5N2O2/c20-12-6-7-16(15(21)10-12)26-17(27)14-5-2-8-25-18(14)28-13-4-1-3-11(9-13)19(22,23)24/h1-10H,(H,26,27)",2.84031478,2.088558654,3.565009968,3.164213512,2.499938516,2.551053318,3.064178363,2.677828084,2.741531477,2.301836636,3.31446474,3.066906874,3.142041142,3.197986358,3.305270282,3.211478901,3.477247397,3.326605037,2.925921594,3.214218148,3.243264436,3.096884205,3.138619244,3.103343811,3.183421358,3.222223705,2.958667618,3.25107961,3.317062083,3.062763887,2.873628855,3.111932416,2.961506973,3.055319896,3.142150717,3.029987943,2.83729978,2.830939147,2.703712214,2.738651034,2.675188709,2.981459413,3.179725957,2.908040498,3.023016064,2.671580719,2.875862724,3.21306961,2.98078788,3.106690992
"InChI=1S/C11H12O5S/c1-11(2)8-6-7(16-17(3,13)14)4-5-9(8)15-10(11)12/h4-6H,1-3H3",2.885744971,2.510102884,2.891174181,2.679579434,2.766964043,2.889995903,2.485818417,2.923974043,3.08897181,2.555797235,3.106823783,3.448587427,3.189698171,2.441859795,2.852943631,2.81755818,2.011996082,3.121139341,2.821831191,3.027841402,2.542314843,2.862774347,3.066224654,3.109524696,2.869768046,2.76688456,3.177455346,2.667990931,3.098067124,2.947940993,3.212127013,2.838009185,2.896353781,2.955971347,2.932053214,3.065869134,3.165169201,3.279294873,3.019934606,3.183122302,3.165158765,3.000572694,3.028195399,3.044887812,2.992751084,2.941580143,2.94296129,2.919091455,2.981042176,2.927172795
"InChI=1S/C13H4Cl2F6N4O4/c14-6-1-4(12(16,17)18)3-22-11(6)23-9-7(24(26)27)2-5(13(19,20)21)8(15)10(9)25(28)29/h1-3H,(H,22,23)",2.303595837,2.50947195,4.061855123,3.842003784,2.526150773,2.387398145,3.169898108,1.825069669,2.463214344,2.33579724,2.364857169,3.03331857,3.093817297,2.930605708,4.646795624,3.460506391,3.179848049,3.258937039,2.803355378,3.196961335,3.369571145,3.310776647,2.604025197,2.916789902,3.19363599,3.067620805,3.273245873,2.18667167,3.077053958,2.672486293,2.947102862,2.621024292,3.311040984,2.916241665,2.96035189,2.719565065,2.815696215,3.157781418,3.112262989,3.075918403,2.985705204,2.803934508,2.941610784,3.023175792,2.807645931,2.742147248,2.880784705,2.764677742,2.973741359,2.857720599
"InChI=1S/C17H21NO2/c1-4-18(5-2)17(19)13(3)20-16-12-8-10-14-9-6-7-11-15(14)16/h6-13H,4-5H2,1-3H3",2.598836187,2.467818058,3.172922869,2.911942837,2.539562585,2.296872433,2.561103275,3.24463848,3.409378355,2.64703373,3.221207079,2.90590908,2.859029409,3.162826289,2.522694908,3.060377791,2.374253809,3.393202307,3.060111598,2.651255433,2.992039288,2.758969829,2.904946875,2.960888307,2.675701675,2.719293765,3.06150378,2.964949168,3.109556661,2.395486486,2.92165378,3.482318966,3.166118241,2.903320781,2.991516014,3.360238232,3.349543558,2.744269973,3.224580053,3.09850369,3.055579029,3.217811209,3.293279997,3.049330629,3.075554248,3.164678105,3.296589995,3.066257632,3.119902197,2.879127996
"InChI=1S/C22H22ClN3O5/c1-14(2)26-29-11-10-28-22(27)15(3)30-17-5-7-18(8-6-17)31-21-13-24-20-12-16(23)4-9-19(20)25-21/h4-9,12-13,15H,10-11H2,1-3H3",3.650299251,2.646948197,3.85111498,3.317408617,2.471658554,3.250360314,2.719085988,2.989322852,2.813941628,2.136839122,3.40942402,2.978034571,3.93757889,3.242232246,2.636634028,2.929017608,2.950241654,3.330422846,2.884910739,2.640792598,3.873083347,2.85133572,3.367412035,3.204456639,3.005365789,3.009836566,2.84117518,2.763687574,3.130278527,2.391284234,2.7142551,3.280003277,3.30390629,2.89560651,3.484494282,3.120572156,3.052789158,3.312358669,3.132054443,2.510555637,2.941487042,2.933680854,3.029677354,2.628063796,2.822130226,2.611044337,3.228367292,3.006159073,2.784321499,3.039462096
"InChI=1S/C13H16F3N3O4/c1-3-5-17(6-4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3",1.868755753,3.139160419,3.530890841,3.695356773,2.421199573,1.901673822,3.099877593,2.204561832,2.829714066,2.694172867,2.623782534,2.904939801,2.681233621,2.761763916,4.321622425,3.211541806,3.270458984,3.010268308,3.640323567,3.19311149,3.326140966,3.116499573,2.616226899,3.483606681,3.019001665,2.653736225,3.606566101,2.794975189,3.102657947,2.931191154,2.853824062,2.64583306,3.114369834,2.848813845,2.964197059,3.252730118,2.876608829,3.049776183,3.208479345,3.127630736,3.182064149,2.806070411,3.294583672,3.171602809,2.789926037,2.92755251,3.048170873,2.775040971,2.856597846,2.835889456
"InChI=1S/C12H13N5O6S2/c1-6-13-10(16-12(14-6)23-3)15-11(19)17-25(20,21)7-4-5-24-8(7)9(18)22-2/h4-5H,1-3H3,(H2,13,14,15,16,17,19)",2.340770592,2.64755772,4.077048482,4.334042286,2.864453497,3.250211431,2.984567091,2.593551914,2.123986797,3.64397822,3.469554017,4.020348,3.288167405,2.362335325,3.227273664,2.821157139,3.037421754,3.248576569,2.292568421,2.838374157,2.43300593,2.392698138,2.885938617,2.710917803,2.413627369,2.702183263,3.158624008,3.265638262,2.810665742,3.375204798,2.956439895,2.958671889,3.035110286,3.368184483,3.11863427,3.002414743,2.944606593,2.912993373,2.813750608,3.013414292,2.906741824,3.122505314,2.903779416,2.732637805,3.011231149,2.944193768,3.078516532,3.115188086,2.813956055,3.04848117
"InChI=1S/C5H8N4O/c1-3-7-4(6)9-5(8-3)10-2/h1-2H3,(H2,6,7,8,9)",1.61828585,2.358193675,3.209396298,3.665799972,3.703749265,3.309482727,2.692888189,2.830792475,3.014414914,4.198263926,3.105164932,3.121294692,3.297133153,2.974561719,3.236287639,3.108459769,3.160201062,3.108725743,2.964312661,2.720287009,2.919945937,2.763604646,2.97421573,3.026759592,2.806344912,3.139563798,3.0607212,3.159064508,2.992704544,3.076832221,2.975135641,3.066928555,3.089084914,2.942796571,2.872205085,2.816203769,2.983549456,2.887862728,2.97081222,3.02171133,2.824338309,2.953659932,3.010613095,2.778563012,2.976586006,2.919604063,3.025924593,3.019907306,2.891371551,2.964468117
"InChI=1S/C8H9NO4S/c1-13-8(10)6-4-2-3-5-7(6)14(9,11)12/h2-5H,1H3,(H2,9,11,12)",2.090308439,2.740938836,2.419328998,3.014884089,2.926865093,2.639352926,3.215941399,2.71787933,2.910614098,2.86524381,2.70912578,3.767165772,3.147465992,2.652615838,3.150003885,2.302089729,2.626605147,2.43312199,3.027887786,2.994604283,3.066356588,2.867960839,3.110109388,2.825119198,2.981080531,2.813239011,2.648623043,3.138075481,2.752964492,3.220324203,3.141187819,2.934785931,2.811572192,2.997735469,3.159928916,3.07515615,3.027078077,2.953998041,3.017728524,3.112175214,2.877944768,3.052086161,3.000742705,2.847625409,3.018397546,3.084998531,2.978610874,3.076005928,3.043691608,2.912163662
"InChI=1S/C14H15N5O6S/c1-8-15-12(18-14(16-8)25-3)17-13(21)19-26(22,23)10-7-5-4-6-9(10)11(20)24-2/h4-7H,1-3H3,(H2,15,16,17,18,19,21)",2.505696514,2.507276445,3.960013505,4.267709613,2.675375938,3.134601626,3.134946346,2.596417615,2.329130813,3.673182121,3.264795459,4.224333158,3.252848419,2.609729303,3.211459996,2.720063097,3.19639188,3.208798716,2.223921117,2.963320894,2.62027553,2.352188245,2.829710927,2.572385324,2.285405737,2.819514268,3.013184931,3.513093899,2.716825731,3.214249979,2.973510194,2.987326082,3.054119686,3.002463486,2.930899803,2.985948945,2.974236015,2.716408062,2.928032637,2.987158078,2.834676699,2.976180332,3.00556065,2.70692136,3.063568335,2.86422404,3.017398525,3.086484057,2.8430471,2.965523776
"InChI=1S/C15H18N6O6S/c1-21(2)13(22)9-6-5-7-16-12(9)28(24,25)20-15(23)19-14-17-10(26-3)8-11(18-14)27-4/h5-8H,1-4H3,(H2,17,18,19,20,23)",2.529464158,2.769109041,4.622271062,4.789701053,2.496808016,3.312897843,2.775247538,2.744330297,2.357865673,3.292134111,3.194264103,3.408711436,3.863905004,2.402742796,3.004822483,2.96151474,3.10340304,3.456473955,2.246802794,3.124958704,3.132152595,2.883175541,3.157715797,2.49203286,3.350555984,2.795951348,2.943317767,2.830927441,2.901683223,3.22453207,3.26057386,3.242722012,3.08661399,3.035246452,3.359625115,3.19042748,2.67318872,2.421673559,3.044754322,2.692093453,2.795654379,3.171899973,2.893185815,2.376252306,2.904607407,2.591395978,2.617269072,3.170137997,2.991170108,3.099214753
"InChI=1S/C14H17N5O7S2/c1-4-27(21,22)9-6-5-7-15-12(9)28(23,24)19-14(20)18-13-16-10(25-2)8-11(17-13)26-3/h5-8H,4H2,1-3H3,(H2,16,17,18,19,20)",2.551999102,2.800674891,4.395740035,4.580836796,2.612928254,3.515729797,2.784287202,2.181491532,2.060915497,3.014060115,3.075622087,3.519692914,4.022957591,2.202571692,3.050525271,2.646679384,2.863012983,3.31449191,2.412328258,3.058223527,2.913443159,2.629279519,3.207170724,2.655251493,3.400331188,2.667730737,3.152064094,2.830736511,2.907221717,3.211038475,3.204308695,3.050683292,3.372677196,3.352557478,3.41155732,3.200425566,2.783006656,2.481169469,2.983025621,2.757918348,2.953305362,3.311708917,2.866292535,2.525446303,3.056618062,2.743731349,2.855625568,2.953600295,3.099810259,3.150506342
