inchi,maccs_1,maccs_2,maccs_3,maccs_4,maccs_5,maccs_6,maccs_7,maccs_8,maccs_9,maccs_10,maccs_11,maccs_12,maccs_13,maccs_14,maccs_15,maccs_16,maccs_17,maccs_18,maccs_19,maccs_20,maccs_21,maccs_22,maccs_23,maccs_24,maccs_25,maccs_26,maccs_27,maccs_28,maccs_29,maccs_30,maccs_31,maccs_32,maccs_33,maccs_34,maccs_35,maccs_36,maccs_37,maccs_38,maccs_39,maccs_40,maccs_41,maccs_42,maccs_43,maccs_44,maccs_45,maccs_46,maccs_47,maccs_48,maccs_49,maccs_50,maccs_51,maccs_52,maccs_53,maccs_54,maccs_55,maccs_56,maccs_57,maccs_58,maccs_59,maccs_60,maccs_61,maccs_62,maccs_63,maccs_64,maccs_65,maccs_66,maccs_67,maccs_68,maccs_69,maccs_70,maccs_71,maccs_72,maccs_73,maccs_74,maccs_75,maccs_76,maccs_77,maccs_78,maccs_79,maccs_80,maccs_81,maccs_82,maccs_83,maccs_84,maccs_85,maccs_86,maccs_87,maccs_88,maccs_89,maccs_90,maccs_91,maccs_92,maccs_93,maccs_94,maccs_95,maccs_96,maccs_97,maccs_98,maccs_99,maccs_100,maccs_101,maccs_102,maccs_103,maccs_104,maccs_105,maccs_106,maccs_107,maccs_108,maccs_109,maccs_110,maccs_111,maccs_112,maccs_113,maccs_114,maccs_115,maccs_116,maccs_117,maccs_118,maccs_119,maccs_120,maccs_121,maccs_122,maccs_123,maccs_124,maccs_125,maccs_126,maccs_127,maccs_128,maccs_129,maccs_130,maccs_131,maccs_132,maccs_133,maccs_134,maccs_135,maccs_136,maccs_137,maccs_138,maccs_139,maccs_140,maccs_141,maccs_142,maccs_143,maccs_144,maccs_145,maccs_146,maccs_147,maccs_148,maccs_149,maccs_150,maccs_151,maccs_152,maccs_153,maccs_154,maccs_155,maccs_156,maccs_157,maccs_158,maccs_159,maccs_160,maccs_161,maccs_162,maccs_163,maccs_164,maccs_165,maccs_166
peptide_673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,2,9,1,0,4,1,3,0,0,0,0,3,17,11,8,0,0,13,1,3,0,0,2,0,0,0,8,0,2,0,0,2,8,9,0,2,2,2,0,8,4,2,2,2,0,1,0,0,0,2,0,0,0,21,0,0,0,0,9,2,4,5,14,5,17,2,0,1,14,4,0,5,0,16,2,4,9,12,20,5,23,14,5,17,11,1,14,11,0
peptide_674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,22,1,0,8,0,11,0,0,0,0,1,53,30,26,0,0,25,0,2,0,0,7,0,0,0,37,0,1,0,0,1,26,30,0,2,0,0,0,26,27,1,0,0,0,8,0,0,0,2,2,5,0,45,19,0,0,0,34,0,8,10,44,3,35,2,0,1,44,27,0,3,0,35,1,8,34,47,49,10,57,44,3,35,6,1,44,6,0
peptide_675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,6,0,1,0,25,2,0,6,5,7,3,0,0,0,2,36,27,26,0,0,28,5,5,0,0,8,0,0,0,27,2,0,0,0,1,26,30,0,2,2,4,0,26,22,0,6,6,3,5,0,0,0,2,5,4,0,38,11,0,0,0,31,6,9,8,39,9,34,2,0,3,39,22,3,9,3,30,2,9,31,35,52,8,58,39,9,34,26,3,39,41,0
peptide_676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,0,1,0,13,3,0,2,2,4,1,0,0,0,2,17,7,15,0,0,16,2,6,0,0,1,0,0,0,15,0,0,0,1,2,15,15,0,0,0,0,0,15,5,0,3,3,1,4,0,0,0,0,0,0,0,22,9,0,0,0,19,3,3,6,25,5,18,0,0,0,25,5,1,5,1,16,0,3,19,12,29,6,29,25,5,18,5,0,25,10,0
peptide_677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,1,13,2,0,5,1,4,1,0,0,1,5,15,7,15,0,0,19,1,5,0,0,2,0,0,0,14,0,1,0,0,3,15,16,0,4,0,2,0,15,4,1,1,1,1,1,0,0,0,4,1,0,0,26,2,0,0,0,16,1,6,7,23,5,19,4,0,3,23,4,1,5,1,18,3,6,16,13,30,7,33,23,5,19,18,3,23,23,0
peptide_678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,1,0,1,0,3,0,1,0,1,0,13,6,8,1,0,9,0,1,0,0,1,0,0,0,10,0,0,0,0,0,8,9,0,0,1,8,1,8,5,0,0,0,0,2,0,0,0,0,0,1,0,12,3,0,0,0,10,0,2,2,12,9,10,0,0,0,12,5,0,9,0,10,0,2,10,13,16,2,17,12,9,10,0,0,12,0,0
peptide_679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,1,0,1,0,5,0,0,0,0,0,11,4,12,0,0,10,0,3,0,0,1,0,0,0,11,0,0,0,0,0,12,10,0,0,0,6,0,12,4,0,0,0,0,1,0,0,0,0,0,1,0,15,4,0,0,0,13,0,1,1,14,12,14,0,0,0,14,4,0,12,0,14,0,1,13,11,22,1,23,14,12,14,0,0,14,0,0
peptide_680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,2,0,1,0,14,2,0,2,3,4,1,0,0,0,2,16,8,15,0,0,15,3,5,0,0,1,0,0,0,13,2,0,0,0,2,15,14,0,0,1,3,0,15,4,0,4,4,1,2,0,0,0,0,1,0,0,21,6,0,0,0,17,4,3,4,21,8,19,0,0,1,21,4,1,8,1,17,0,3,17,12,30,4,29,21,8,19,14,1,21,19,0
peptide_681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,14,0,0,4,2,0,1,0,0,0,4,13,6,14,0,0,20,2,4,0,0,2,0,0,0,12,0,0,0,0,3,14,13,0,2,0,2,0,14,5,0,2,2,1,2,0,0,0,2,1,0,0,21,2,0,0,0,16,2,5,7,23,8,15,2,0,4,23,5,1,8,1,14,2,5,16,10,29,7,31,23,8,15,24,4,23,34,0
peptide_682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,1,10,0,0,5,2,1,0,0,0,0,5,16,10,10,0,0,16,2,3,0,0,2,0,0,0,9,2,1,0,0,3,10,9,0,0,3,5,0,10,4,1,2,2,0,1,0,0,0,0,0,0,0,20,0,0,0,0,11,2,5,5,16,9,15,0,0,1,16,4,0,9,0,15,1,5,11,11,23,5,25,16,9,15,9,1,16,14,0
