maccs
[!0]
"[#104,#105,#106,#107,#108,#109,#110,#111,#112]"
"[Ge,As,as,Se,se,Sn,Sb,Te,Tl,Pb,Bi]"
"[Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr]"
"[Sc,Ti,Y,Zr,Hf]"
"[La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu]"
"[V,Cr,Mn,Nb,Mo,Tc,Ta,W,Re]"
[!#6;!#1]1~*~*~*~1
"[Fe,Co,Ni,Ru,Rh,Pd,Os,Ir,Pt]"
"[Be,Mg,Ca,Sr,Ba,Ra]"
[R]1@*@*@*@1
"[Cu,Zn,Ag,Cd,Au,Hg]"
[#8]~[#7](~[#6])~[#6]
[#16]-[#16]
[#8]~[#6](~[#8])~[#8]
[R!#6!#1]1~*~*~1
[#6]#[#6]
"[#5,Al,Ga,In,Tl]"
[R]1@*@*@*@*@*@*@1
[Si]
[#6]=[#6](~[!#6;!#1])~[!#6;!#1]
[R]1@*@*@1
[#7]~[#6](~[#8])~[#8]
[#7]-[#8]
[#7]~[#6](~[#7])~[#7]
[#6]=;@[#6](@*)@*
[I]
[!#6;!#1]~[CH2]~[!#6;!#1]
[#15]
[#6]~[!#6;!#1](~[#6])(~[#6])~*
"[!#6;!#1]~[F,Cl,Br,I]"
[#6]~[#16]~[#7]
[#7]~[#16]
[CH2]=*
"[Li,Na,K,Rb,Cs,Fr]"
[#16R]
[#7]~[#6](~[#8])~[#7]
[#7]~[#6](~[#6])~[#7]
[#8]~[#16](~[#8])~[#8]
[#16]-[#8]
[#6]#[#7]
F
[!C;!c;!#1;!H0]~*~[!C;!c;!#1;!H0]
[!#1;!#6;!#7;!#8;!#9;!#14;!#15;!#16;!#17;!#35;!#53]
[#6]=[#6]~[#7]
Br
[#16]~*~[#7]
[#8]~[!#6;!#1](~[#8])(~[#8])
[!+0]
[#6]=[#6](~[#6])~[#6]
[#6]~[#16]~[#8]
[#7]~[#7]
[!#6;!#1;!H0]~*~*~*~[!#6;!#1;!H0]
[!#6;!#1;!H0]~*~*~[!#6;!#1;!H0]
[#8]~[#16]~[#8]
[#8]~[#7](~[#8])~[#6]
[#8R]
[!#6;!#1]~[#16]~[!#6;!#1]
[#16]!:*:*
[#16]=[#8]
[#16](~*)(~*)~*
[R]!@[R]
[#7]=[#8]
[#16]!@*@*
n:c
[#6]~[#6](~[#6])(~[#6])~*
[!#6;!#1]~[#16]
[!#6;!#1;!H0]~[!#6;!#1;!H0]
[!#6;!#1]~[!#6;!#1;!H0]
[!#6;!#1]~[#7]~[!#6;!#1]
[#7]~[#8]
[#8]~*~*~[#8]
[#16]=*
[CH3]~*~[CH3]
[#7](!@*)@*
[#6]=[#6](~*)~*
[#7]~*~[#7]
[#6]=[#7]
[#7]~*~*~[#7]
[#7]~*~*~*~[#7]
[#16]~*(~*)~*
[CH2](~*)~[!#6;!#1;!H0]
[!#6;!#1]1~*~*~*~*~1
[NH2]
[#6]~[#7](~[#6])~[#6]
"[C;H2,H3][!#6;!#1][C;H2,H3]"
"[F,Cl,Br,I]!@*@*"
[#16]
[#8]~*~*~*~[#8]
[#6H2](~*~*~[!#6!#1!H0])~*
[#6H2](~*~*~*~[!#6!#1!H0])~*
[#8]~[#6](~[#7])~[#6]
[!#6;!#1]~[CH3]
[!#6;!#1]~[#7]
[#7]~*~*~[#8]
[R]1@*@*@*@*@1
[#8]~*~*~*~[#7]
[R!#6!#1]1@*@*@*@*@*@1
[#6]=[#6]
[#7]~[CH2]~*
[R]1@*@*@*@*@*@*@*@1
[!#6;!#1]~[#8]
Cl
[!#6;!#1;!H0]~*~[CH2]~*
[R!x2](@*)(@*)@*
[!#6;!#1]~*(~[!#6;!#1])~[!#6;!#1]
"[F,Cl,Br,I]~*(~*)~*"
[CH3]~*~*~*~[CH2]~*
[#8]~[CH2]~*
[#8]~[#6]~[#7]
[#7]~*~[CH2]~*
*(~*)(~*)(~*)~*
[#8]!:*:*
[CH3]~[CH2]~*
[CH3]~*~[CH2]~*
[#6H3]~*~*~[#6H2]~*
[#7]~*~[#8]
[#6H2]([#6H2]*)*
[#7]=*
[!#6;R]
[#7;R]
[#7](~*)(~*)~*
[#8]~[#6]~[#8]
[!#6;!#1]~[!#6;!#1]
[!*]
[#8](!@*)!@*
[#8]!@[R]@*
[#6H2](~*~*~*~[#6H2]~*)~*
[#6H2](~*~*~[#6H2]~*)~*
[!#6;!#1]~[!#6;!#1]
[!#6;!#1;!H0]
[#8]~*~[CH2]~*
[#7]!@*@*
"[F,Cl,Br,I]"
[#7]!:*:*
[#8]=*
[!C;!c;R]
[!#6;!#1]~[CH2]~*
[O;!H0]
[#8]
[CH3]
[#7]
[#8]!@[R]@*
a(!:*):a!:*
[R]1@*@*@*@*@*@1
[#8]
[#6H2](~[#6H2]~*)~*
[!#6;!#1](~*)(~*)~*
"[C;H3,H4]"
[R](!@*)@[R]!@*
[#7;!H0]
[#8]~[#6](~[#6])~[#6]
[!#6;!#1]~[CH2]~*
[#6]=[#8]
[CH2](!@*)!@*
[#7]~*(~*)~*
[#6]-[#8]
[#6]-[#7]
[#8]
"[C;H3,H4]"
[#7]
a
[R]1@*@*@*@*@*@1
[#8]
[R]
(*).(*)
